,Country,Continent,Region,DevName,1980
0,Afghanistan,Asia,Southern Asia,Developing regions,16
1,Albania,Europe,Southern Europe,Developed regions,1
2,Algeria,Africa,Northern Africa,Developing regions,80
3,American Samoa,Oceania,Polynesia,Developing regions,0
4,Andorra,Europe,Southern Europe,Developed regions,0
5,Angola,Africa,Middle Africa,Developing regions,1
6,Antigua and Barbuda,Latin America and the Caribbean,Caribbean,Developing regions,0
7,Argentina,Latin America and the Caribbean,South America,Developing regions,368
8,Armenia,Asia,Western Asia,Developing regions,0
9,Australia,Oceania,Australia and New Zealand,Developed regions,702
